Age Group,Gender,Marital Status,Number of Dependents,Education Level,Employment Type,Employment Duration,Monthly Income,Existing Loan Status,Monthly Loan Repayment,Loan Type,Requested Loan Amount,Loan Purpose,Collateral Availability,Guarantor Availability,Required Documents Submitted,Loan Application Result
35–44,Male,Prefer not to say,3,Postgraduate degree,Government employee,6–10 years,"Rs.600,000–999,999",No,No existing loan,Personal,"Rs.10,000,000–24,999,999",Other,No,Yes,"Yes, all",Approved
25–34,Male,Married,2,Diploma,Private-sector employee,6–10 years,"Rs.150,000–249,999",Yes,"Rs.75,000–99,999",Business,"Rs.5,000,000–9,999,999",Business investment,No,No,"Yes, all",Rejected
45–54,Female,Married,1,Undergraduate degree,Private-sector employee,More than 10 years,"Rs.100,000–149,999",Yes,"Rs.25,000–49,999",Personal,"Rs.500,000–999,999",Other,No,Yes,"Yes, all",Rejected
25–34,Male,Married,0,Postgraduate degree,Government employee,6–10 years,"Rs.250,000–399,999",No,No existing loan,Vehicle,"Rs.5,000,000–9,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
25–34,Male,Widowed,1,Secondary,Private-sector employee,6–10 years,"Rs.150,000–249,999",Yes,"Rs.25,000–49,999",Personal,"Rs.500,000–999,999",Personal expenses,Not applicable / Not required,No,"Yes, all",Rejected
25–34,Male,Single,0,Diploma,Government employee,Less than 1 year,"Rs.250,000–399,999",No,No existing loan,Personal,"Rs.5,000,000–9,999,999",Medical expenses,No,No,"Yes, all",Rejected
Below 25,Female,Divorced,1,Undergraduate degree,Private-sector employee,3–5 years,"Rs.150,000–249,999",Yes,"Below Rs.10,000",Personal,"Rs.1,000,000–4,999,999",Other,No,No,"Yes, all",Rejected
25–34,Female,Married,3,Undergraduate degree,Business owner,1–2 years,"Rs.400,000–599,999",No,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,Yes,"Yes, all",Approved
55–64,Female,Single,1,Undergraduate degree,Unemployed,Not employed/business,"Rs.50,000–99,999",Yes,"Rs.10,000–24,999",Personal,"Rs.1,000,000–4,999,999",Debt consolidation,Yes,No,"Yes, all",Approved
45–54,Male,Married,2,Secondary,Government employee,6–10 years,"Rs.600,000–999,999",Yes,"Rs.10,000–24,999",Housing,"Rs.1,000,000–4,999,999",House purchase/construction,Yes,No,"Yes, all",Approved
25–34,Male,Single,1,Diploma,Business owner,More than 10 years,"Rs.400,000–599,999",No,No existing loan,Housing,"Rs.25,000,000–49,999,999",House purchase/construction,Yes,No,"Yes, all",Approved
35–44,Male,Single,1,Secondary,Government employee,3–5 years,"Rs.100,000–149,999",Yes,"Rs.10,000–24,999",Personal,"Rs.1,000,000–4,999,999",Other,No,Yes,"Yes, all",Rejected
35–44,Female,Single,1,Undergraduate degree,Business owner,Less than 1 year,"Rs.100,000–149,999",No,No existing loan,Education,"Rs.500,000–999,999",Education,No,No,"Yes, all",Approved
35–44,Male,Married,5 or more,Undergraduate degree,Business owner,1–2 years,"Rs.100,000–149,999",No,No existing loan,Vehicle,"Rs.500,000–999,999",Vehicle purchase,No,Yes,"Yes, all",Approved
45–54,Male,Divorced,0,Other,Unemployed,Not employed/business,"Rs.50,000–99,999",No,No existing loan,Vehicle,"Rs.5,000,000–9,999,999",Vehicle purchase,No,No,"Yes, all",Rejected
25–34,Prefer not to say,Married,1,Undergraduate degree,Self-employed,3–5 years,"Rs.600,000–999,999",Yes,"Rs.25,000–49,999",Personal,"Rs.5,000,000–9,999,999",Medical expenses,No,No,"Yes, all",Approved
55–64,Male,Married,3,Undergraduate degree,Business owner,1–2 years,"Rs.600,000–999,999",No,No existing loan,Housing,"Rs.10,000,000–24,999,999",House purchase/construction,Yes,Yes,"Yes, all",Approved
45–54,Female,Married,2,Secondary,Private-sector employee,1–2 years,"Rs.250,000–399,999",Yes,"Rs.50,000–74,999",Personal,"Rs.5,000,000–9,999,999",Medical expenses,Yes,Yes,"Yes, all",Approved
35–44,Male,Single,0,Undergraduate degree,Government employee,More than 10 years,"Rs.1,000,000 or above",No,No existing loan,Personal,"Rs.1,000,000–4,999,999",Personal expenses,Yes,No,"Yes, all",Approved
35–44,Male,Married,1,Diploma,Self-employed,Less than 1 year,"Rs.250,000–399,999",No,No existing loan,Other,"Rs.25,000,000–49,999,999",Medical expenses,Yes,No,"Yes, all",Rejected
45–54,Male,Single,0,Postgraduate degree,Private-sector employee,3–5 years,"Rs.250,000–399,999",Yes,"Below Rs.10,000",Housing,"Rs.75,000,000–99,999,999",House purchase/construction,Yes,Yes,"Yes, all",Rejected
55–64,Male,Married,3,Undergraduate degree,Self-employed,1–2 years,"Rs.250,000–399,999",Yes,"Rs.25,000–49,999",Personal,"Rs.500,000–999,999",Other,Not applicable / Not required,No,"Yes, all",Approved
65 or above,Male,Single,1,Postgraduate degree,Government employee,3–5 years,"Rs.1,000,000 or above",Yes,"Rs.25,000–49,999",Vehicle,"Rs.500,000–999,999",Vehicle purchase,Yes,No,"Yes, all",Approved
35–44,Male,Married,2,Diploma,Self-employed,1–2 years,"Rs.400,000–599,999",Yes,"Below Rs.10,000",Business,"Rs.10,000,000–24,999,999",Business investment,No,No,"Yes, all",Rejected
45–54,Female,Single,5 or more,Undergraduate degree,Self-employed,Less than 1 year,"Rs.50,000–99,999",No,No existing loan,Housing,"Rs.10,000,000–24,999,999",House purchase/construction,Yes,No,"Yes, all",Rejected
55–64,Male,Married,0,Secondary,Private-sector employee,More than 10 years,"Rs.250,000–399,999",Yes,"Rs.10,000–24,999",Housing,"Rs.75,000,000–99,999,999",House purchase/construction,Yes,Yes,"No, some missing",Rejected
35–44,Female,Divorced,0,Undergraduate degree,Business owner,6–10 years,"Rs.1,000,000 or above",No,No existing loan,Personal,"Rs.500,000–999,999",Personal expenses,No,No,"Yes, all",Approved
55–64,Female,Married,1,Diploma,Private-sector employee,6–10 years,"Rs.150,000–249,999",No,No existing loan,Other,"Rs.1,000,000–4,999,999",Other,Yes,No,"Yes, all",Approved
